0,0,3.0268e-43
0,0,0
3.0268e-43,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-8.13842e+31,-0.00148411,-8.13925e+31
0,0,0
-7.36877e+31,-0.00146877,-7.36851e+31
-7.54139e+30,0.00021354,-7.54113e+30
-8.13877e+31,-0.00148411,-8.13849e+31
-7.4412e+30,0.000243478,-7.44094e+30
-3.56468e+30,0.00388203,-3.56456e+30
-7.54139e+30,0.00021354,-7.54113e+30
-3.53467e+30,0.00397049,-3.53455e+30
-2.33894e+30,0.0125932,-2.33886e+30
-3.56468e+30,0.00388203,-3.56456e+30
-2.33392e+30,0.0126005,-2.33384e+30
-1.66433e+30,0.0160217,-1.66427e+30
-2.33894e+30,0.0125932,-2.33886e+30
-1.67069e+30,0.0163935,-1.67064e+30
-1.40318e+30,-0.00707412,-1.40313e+30
-1.66433e+30,0.0160217,-1.66427e+30
-1.39976e+30,-0.00726878,-1.39971e+30
-1.83812e+30,-0.00494594,-1.83805e+30
-1.40318e+30,-0.00707412,-1.40313e+30
-1.82955e+30,-0.00495907,-1.82949e+30
-3.76764e+30,0.000776883,-3.76751e+30
-1.83812e+30,-0.00494594,-1.83805e+30
-3.72198e+30,0.000705134,-3.72185e+30
-9.16922e+30,0.00398278,-9.1689e+30
-3.76764e+30,0.000776883,-3.76751e+30
-9.0251e+30,0.00394886,-9.02479e+30
-1.45356e+32,0.00615732,-1.45351e+32
-9.16922e+30,0.00398278,-9.1689e+30
-1.26442e+32,0.00612923,-1.26438e+32
0,0,0
-1.45356e+32,0.00615732,-1.45351e+32
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-5.81237e+31,-0.00142579,-5.81217e+31
0,0,0
0,0,0
-7.18059e+30,0.000331356,-7.18034e+30
-7.36877e+31,-0.00146877,-7.36851e+31
-5.81237e+31,-0.00142579,-5.81217e+31
-3.45375e+30,0.00421579,-3.45363e+30
-7.4412e+30,0.000243478,-7.44094e+30
-7.18059e+30,0.000331356,-7.18034e+30
-2.31966e+30,0.0125927,-2.31958e+30
-3.53467e+30,0.00397049,-3.53455e+30
-3.45375e+30,0.00421579,-3.45363e+30
-1.68908e+30,0.0174227,-1.68902e+30
-2.33392e+30,0.0126005,-2.33384e+30
-2.31966e+30,0.0125927,-2.31958e+30
-1.39077e+30,-0.00779398,-1.39073e+30
-1.67069e+30,0.0163935,-1.67064e+30
